epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.55401,2.60371,4.6129,2.0488,0.00242,0.72727,0.02752,0.00361,1.82471,4.38635,1.68364,0.0001,0.0001,0.0001
2,6.41898,1.97854,3.99439,1.66314,0.00273,0.81818,0.14368,0.06211,1.94047,4.08867,1.55636,0.000215644,0.000215644,0.000215644
3,7.26012,1.90782,3.89542,1.55306,0.00303,0.90909,0.16938,0.07625,1.60144,3.89918,1.31484,0.000326536,0.000326536,0.000326536
4,8.09511,1.99788,3.01893,1.49841,0.00333,1,0.34578,0.07583,1.53575,3.73835,1.21957,0.000432676,0.000432676,0.000432676
5,8.91012,1.86268,2.73571,1.46377,0.00333,1,0.2888,0.14443,1.57324,3.58524,1.17504,0.000534064,0.000534064,0.000534064
6,9.73662,1.72653,2.73369,1.44745,0.00333,1,0.14456,0.05584,1.40807,3.56666,1.10625,0.0006307,0.0006307,0.0006307
7,10.5714,1.5789,2.53813,1.39306,0.00333,1,0.46145,0.17891,1.44783,3.44287,1.07205,0.000722584,0.000722584,0.000722584
8,11.3475,1.22553,3.15966,1.19057,0.00333,1,0.34885,0.15215,1.41326,3.35596,1.0802,0.000809716,0.000809716,0.000809716
9,12.1447,1.76807,3.10391,1.76485,0.00333,1,0.57,0.31445,1.46126,3.28451,1.09647,0.000892096,0.000892096,0.000892096
10,12.955,1.62961,2.49393,1.4855,0.00333,1,0.41649,0.26513,1.36213,3.34645,1.10331,0.000969724,0.000969724,0.000969724
11,13.7328,1.57253,2.64418,1.2933,1,0.42603,0.93962,0.59524,1.38816,3.06162,1.07683,0.0010426,0.0010426,0.0010426
12,14.5209,1.33858,2.14252,1.20611,1,0.49256,0.95346,0.50356,1.44835,2.90579,1.12414,0.00111072,0.00111072,0.00111072
13,15.2849,1.20314,3.07046,1.05061,1,0.37823,0.78626,0.42722,1.5518,3.0673,1.2145,0.0011741,0.0011741,0.0011741
14,16.0761,1.57164,1.9836,1.3312,1,0.2624,0.47387,0.27803,1.77547,3.32906,1.30586,0.00123272,0.00123272,0.00123272
15,16.843,1.65967,2.27683,1.43324,1,0.2624,0.47387,0.27803,1.77547,3.32906,1.30586,0.00128658,0.00128658,0.00128658
16,17.6268,1.38699,2.0153,1.31925,1,0.32752,0.7267,0.40471,1.78749,3.2236,1.26386,0.0013357,0.0013357,0.0013357
17,18.4009,1.21165,2.58465,0.99404,0.88691,0.71434,0.75929,0.43678,1.61557,2.70394,1.18335,0.0013664,0.0013664,0.0013664
18,19.1996,1.4418,1.95459,1.27244,0.88812,0.90909,0.85633,0.46879,1.64625,2.24181,1.17284,0.0013268,0.0013268,0.0013268
19,19.9656,1.2228,1.74888,1.1539,0.88812,0.90909,0.85633,0.46879,1.64625,2.24181,1.17284,0.0012872,0.0012872,0.0012872
20,20.7492,1.36474,1.75237,1.25298,0.89352,0.76517,0.80978,0.49744,1.50625,2.19805,1.17469,0.0012476,0.0012476,0.0012476
21,21.523,1.27182,1.71317,1.19805,0.82847,0.87992,0.88156,0.4987,1.52141,1.83716,1.17957,0.001208,0.001208,0.001208
22,22.3161,1.48295,1.86112,1.34279,0.82827,0.90909,0.91167,0.59732,1.29962,1.56432,1.08399,0.0011684,0.0011684,0.0011684
23,23.0801,1.38444,2.02912,1.43465,0.82827,0.90909,0.91167,0.59732,1.29962,1.56432,1.08399,0.0011288,0.0011288,0.0011288
24,23.8796,1.27946,1.49278,1.16692,0.90055,0.90909,0.88392,0.61164,1.18962,1.43727,1.04961,0.0010892,0.0010892,0.0010892
25,24.661,1.02727,2.19915,0.99663,0.89907,0.90909,0.8795,0.54458,1.34698,1.5216,1.10602,0.0010496,0.0010496,0.0010496
26,25.4485,1.46204,2.1542,1.26364,0.89385,0.90909,0.86753,0.49275,1.58759,1.52715,1.25347,0.00101,0.00101,0.00101
27,26.2204,1.1173,1.30246,1.12861,0.89385,0.90909,0.86753,0.49275,1.58759,1.52715,1.25347,0.0009704,0.0009704,0.0009704
28,27.2993,1.21074,1.39217,1.16418,0.89562,0.90909,0.89077,0.51964,1.49582,1.51112,1.16413,0.0009308,0.0009308,0.0009308
29,28.0703,1.13911,1.30314,1.09579,0.90031,0.90909,0.91373,0.53517,1.40345,1.44957,1.11238,0.0008912,0.0008912,0.0008912
30,28.8448,1.25404,1.4998,1.22498,0.90173,0.90909,0.93545,0.55482,1.3633,1.38618,1.08549,0.0008516,0.0008516,0.0008516
31,29.601,1.08361,1.26741,1.10329,0.90173,0.90909,0.93545,0.55482,1.3633,1.38618,1.08549,0.000812,0.000812,0.000812
32,30.3745,1.12041,1.30983,1.14807,0.90667,0.90909,0.92682,0.56651,1.43516,1.42953,1.10685,0.0007724,0.0007724,0.0007724
33,31.176,1.29697,1.57263,1.18982,0.90492,0.90909,0.94182,0.56203,1.51829,1.32047,1.1711,0.0007328,0.0007328,0.0007328
34,31.9543,1.0644,1.37147,1.0916,0.90736,0.89181,0.93578,0.5275,1.54794,1.26388,1.15597,0.0006932,0.0006932,0.0006932
